Date,Lineage,Site Location,Bag Number,Oyster Number,Pit Tag Start Num,Pit Tag End Num,Length,Width,Status,Notes,Picture taken by,Analyzed by,Date reported dead,Notes extended,
19-Oct-22,NR,RWU,2,1,,no tag,74.3,53.7,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,2,,no tag,51.2,43.83,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,3,,no tag,49.8,30.28,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,4,,no tag,68.82,44.42,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,5,,no tag,47.68,35.35,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,6,,no tag,65.52,38.04,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,7,,no tag,58.19,32.57,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,8,,no tag,69.37,41.98,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,9,,no tag,48.65,36.29,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,10,,no tag,55.17,35.68,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,11,,no tag,39.07,33.47,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,12,,no tag,49,37.71,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,13,,no tag,53.46,43.64,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,14,,no tag,46.02,31.18,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,15,,no tag,47.55,32.28,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,16,,no tag,63.07,44.24,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,17,,no tag,52.17,41.98,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,18,,no tag,43.07,29.72,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,19,,no tag,53.92,34.89,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,20,,no tag,46.25,32.9,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,21,,no tag,49.23,36.23,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,22,,no tag,48.58,33.18,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,23,,no tag,47.36,31.76,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,24,,no tag,41.28,37.2,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,25,,no tag,42.96,34.61,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,26,,no tag,47.25,34.31,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,27,,no tag,61.66,39.69,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,28,,no tag,41.92,30.54,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,29,,no tag,56.81,40.43,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,30,,no tag,66.36,35.73,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,31,,no tag,44.76,31.47,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,32,,no tag,56.66,35.85,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,33,,no tag,50.87,32.67,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,34,,no tag,55.21,34.26,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,35,,no tag,51.1,34.32,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,36,,no tag,44.48,32.08,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,37,,no tag,57.83,40.96,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,38,,no tag,50.6,40.63,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,39,,no tag,54.06,41.9,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,40,,no tag,56.67,39.84,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,41,,no tag,50,36.25,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,42,,no tag,44.22,30.84,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,43,,no tag,50.14,36.63,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,44,,no tag,44.64,32.69,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,45,,no tag,48.04,32.27,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,46,,no tag,50.23,29.94,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,47,,no tag,55.51,44.75,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Oct-22,NR,RWU,2,48,,no tag,45.62,29.48,alive,DERIVED FROM NR-2_nottagged_alive photo,,,,,
19-Jul-21,NR,RWU,1,36,9820910659,NA,22.5,19.28,Alive,QA/QC result typo in initial recordeing of tag ,,,,,
26-Aug-21,NR,RWU,1,NA,9820910659,NA,NA,NA,Missing,"this oyster could not be found in bag, First reported missing on 26-Aug-2021",,,,,
